set_num,name,year,theme_id,num_parts
8024-1,Universal Building Set,1989,21,114
8034-1,Universal Building Set,1989,21,187
8835-1,Forklift,1989,7,240
8853-1,Excavator / Digger,1988,7,326
8064-1,Motorized Universal Building Set,1990,21,219
8094-1,TECHNIC Control Center,1990,21,549
8825-1,Night Chopper,1991,6,113
8838-1,Shock Cycle,1991,13,247
8837-1,Pneumatic Excavator,1992,7,257
8868-1,Airtech Claw Rig,1992,7,954
8880-1,Super Car,1994,15,1345
8046-1,Helicopter,2010,6,152
42083-1,Bugatti Chiron,2018,12,3598
6086-1,Black Knight's Castle,1992,188,590
6048-1,Majisto's Magical Workshop,1993,186,188
6056-1,Dragon Wagon,1993,186,109
6076-1,Dark Dragon's Den,1993,186,219
1712-1,Crossbow Cart,1994,186,23
1794-1,Dragon Master Chariot,1994,186,36
6008-1,Royal King,1995,201,12
6267-1,Lagoon Lock-Up,1991,151,194
6261-1,Raft Raiders,1992,148,86
6258-1,Smuggler's Shanty,1992,148,75
1970-1,Pirate's Gun Cart,1993,148,31
6252-1,Sea Mates,1993,148,39
6278-1,Enchanted Island,1994,152,439
1788-1,Treasure Chest,1995,148,165
6522-1,Highway Patrol,1987,80,38
6642-1,Police Helicopter,1988,80,65
6506-1,Precinct Cruiser,1989,80,32
6430-1,Night Patroller,1991,80,140
6545-1,Search N' Rescue,1996,80,290
6354-1,Pursuit Squad,1990,80,175
6353-1,Coastal Cutter,1991,71,184
6381-1,Motor Speedway,1987,82,206
1612-1,Race Car,1988,82,30
6309-1,Town Mini-Figures,1988,84,41
6503-1,Sprint Racer,1988,82,32
6504-1,Tractor,1988,72,25
6643-1,Fire Truck,1988,74,74
1517-1,Race Car,1989,82,32
1899-1,Weetabix Racer,1989,82,24
6482-1,Rescue Helicopter,1989,78,198
6507-1,Mini Dumper,1989,72,30
1631-1,Black Racer,1990,82,23
6508-1,Wave Racer,1990,77,37
6509-1,Red Devil Racer,1991,82,39
6346-1,Shuttle Launching Crew,1992,68,413
6534-1,Beach Bandit,1992,83,44
6668-1,Recycle Truck,1992,85,108
6648-1,Mag Racer,1992,82,61
6670-1,Rescue Rig,1993,85,114
1702-1,Fire Fighter 4 x 4,1994,74,59
6834-1,Celestial Sled,1993,133,55
